day,temp_min,temp_max,feels_like,pressure,humidity,wind_speed,wind_deg,is_offday,whole-sale-1,whole-sale-2,demand,rrp
2019/08/12,7.497916666666666,10.835833333333332,6.618333333333335,1022.3333333333334,81.16666666666667,2.6041666666666665,240.83333333333334,0,65,35,273366.8,7359.359999999999
2019/08/13,7.866666666666667,11.310416666666667,7.867083333333333,1025.9166666666667,79.83333333333333,2.0887500000000006,233.16666666666666,0,65,35,282948.53,11938.23
2019/08/14,9.10375,11.39125,7.763333333333333,1025.7916666666667,75.375,2.5437499999999997,226.41666666666666,0,65,35,269362.87,5846.83
2019/08/15,9.410833333333333,13.216666666666667,6.408333333333334,1020.4166666666666,55.333333333333336,4.908333333333334,314.5833333333333,0,65,35,256239.43000000002,3548.43
2019/08/16,9.254583333333334,13.924583333333336,7.631249999999999,1014.9166666666666,63.666666666666664,4.383333333333333,302.5,0,65,35,259562.31,4586.1900000000005
2019/08/17,8.220416666666667,12.432916666666666,7.796666666666667,1018.7083333333334,70.45833333333333,2.1945833333333336,233.04166666666666,1,65,35,230921.19999999998,3532.1800000000003
2019/08/18,9.867916666666666,13.487499999999999,7.0424999999999995,1007.625,58.833333333333336,4.870833333333333,227.5,1,65,35,221632.75,2330.26
2019/08/19,6.011666666666666,9.595416666666667,4.04,1017.8333333333334,66.95833333333333,3.4333333333333336,284.5833333333333,0,65,35,262134.5,3655.6099999999997
2019/08/20,9.17375,12.92125,7.65375,1021.7083333333334,64.54166666666667,3.8625000000000003,308.75,0,65,35,262877.10000000003,2861.81
2019/08/21,10.853333333333333,14.117916666666666,9.432916666666667,1017.7916666666666,66.25,3.829166666666667,267.5,0,65,35,241494.16,2417.03
2019/08/22,8.102083333333333,12.017083333333332,6.752083333333334,1022.125,69.08333333333333,3.6999999999999997,206.66666666666666,0,65,35,255395.97999999998,3779.0699999999997
2019/08/23,7.009166666666666,11.422083333333333,5.148333333333333,1022.8333333333334,66.91666666666667,3.8508333333333336,279.9583333333333,0,65,35,253526.72999999998,4139.18
2019/08/24,9.893749999999999,13.956250000000002,6.733750000000001,1014.7916666666666,56.166666666666664,5.533333333333332,334.1666666666667,1,65,35,214606.95,2408.86
2019/08/25,6.621666666666667,10.691666666666668,5.829583333333333,1020.8333333333334,71.79166666666667,2.3866666666666667,232.29166666666666,1,65,35,227960.60000000003,5217.7
2019/08/26,6.83625,10.924583333333333,6.50875,1024.4583333333333,73.33333333333333,1.6733333333333336,210.0,0,65,35,265408.73000000004,6472.18
2019/08/27,7.4262500000000005,11.724583333333333,7.128333333333333,1023.7916666666666,71.04166666666667,2.061666666666667,200.08333333333334,0,65,35,261929.77,5978.889999999999
2019/08/28,6.5,10.862499999999999,5.312916666666666,1021.0416666666666,71.29166666666667,3.233333333333333,286.5416666666667,0,65,35,275321.88,6446.389999999999
2019/08/29,5.982500000000001,10.25,4.447083333333333,1028.5833333333333,67.875,2.920833333333333,176.125,0,65,35,268466.69,6239.639999999999
2019/08/30,5.541666666666667,10.02875,5.1241666666666665,1027.5833333333333,76.70833333333333,1.9504166666666667,134.20833333333334,0,65,35,263742.16,8346.4
2019/08/31,8.770416666666668,13.368333333333332,7.07,1021.875,61.916666666666664,4.079166666666667,130.41666666666666,1,65,35,215232.06,3422.71
2019/09/01,10.807083333333333,15.194583333333332,9.41375,1017.2083333333334,57.583333333333336,3.8958333333333335,231.66666666666666,1,66,34,213558.95,3394.7400000000002
2019/09/02,10.850833333333332,14.610000000000001,10.104166666666666,1018.8333333333334,70.91666666666667,3.266666666666667,234.16666666666666,0,66,34,243394.76,4303.860000000001
2019/09/03,11.56541666666667,15.9275,12.137916666666667,1014.9166666666666,75.04166666666667,2.3075,178.0,0,66,34,237742.43,5230.43
2019/09/04,10.309166666666668,14.298333333333332,10.708333333333334,1014.9166666666666,79.5,2.1983333333333333,209.875,0,66,34,245305.62,6736.530000000001
2019/09/05,11.368333333333334,15.17875,11.628750000000002,1012.0,75.75,2.407083333333333,164.0,0,66,34,240446.34999999998,4665.49
2019/09/06,9.172083333333333,13.075000000000001,8.64375,1002.125,75.95833333333333,3.1220833333333338,259.5416666666667,0,66,34,244445.38,3200.1099999999997
2019/09/07,7.321666666666666,11.204583333333334,5.477499999999999,1011.0,68.83333333333333,3.875,266.6666666666667,1,66,34,230400.38,3360.09
2019/09/08,7.3125,11.317083333333334,6.154166666666666,1014.125,70.08333333333333,3.079166666666667,283.75,1,66,34,233998.14,3035.99
2019/09/09,6.544583333333333,10.994583333333333,4.864583333333333,1022.1666666666666,72.29166666666667,4.108333333333333,214.16666666666666,0,66,34,260896.22999999998,4133.9
2019/09/10,7.800000000000001,11.836250000000001,7.7370833333333335,1027.9583333333333,76.79166666666667,1.91875,231.33333333333334,0,66,34,263330.03,6902.07
2019/09/11,9.907916666666667,13.990416666666667,8.478333333333333,1027.625,66.41666666666667,3.7770833333333336,178.66666666666666,0,66,34,242200.09000000003,3900.96
2019/09/12,11.66125,15.992500000000001,10.160833333333334,1020.0416666666666,61.291666666666664,4.466666666666667,241.25,0,66,34,237446.13999999998,3453.09
2019/09/13,10.029583333333333,14.162083333333333,9.625833333333333,1023.5,59.708333333333336,2.2275,270.4166666666667,0,66,34,240698.03000000003,5136.8099999999995
2019/09/14,10.82125,15.605416666666668,10.887916666666667,1024.25,62.875,2.391666666666667,234.58333333333334,1,66,34,207001.91,4925.120000000001
2019/09/15,12.963333333333333,16.882916666666667,11.765833333333333,1016.875,64.70833333333333,4.1625000000000005,277.0833333333333,1,66,34,210298.04,4136.78
2019/09/16,7.9875,11.811666666666667,6.482916666666667,1020.7083333333334,68.66666666666667,3.4166666666666665,207.5,0,66,34,238724.46999999997,6190.79
2019/09/17,6.21375,10.797083333333333,4.83625,1027.5,61.333333333333336,2.90625,164.20833333333334,0,66,34,248258.88,6971.64
2019/09/18,8.392916666666666,12.808749999999998,8.311250000000001,1026.875,69.33333333333333,1.9308333333333334,146.125,0,66,34,239431.41,6983.039999999999
2019/09/19,13.415000000000001,17.942083333333333,12.278750000000002,1019.8333333333334,58.416666666666664,4.6499999999999995,143.75,0,66,34,216205.12,3847.34
2019/09/20,19.16541666666667,23.235000000000003,17.465833333333332,1014.3333333333334,43.791666666666664,5.295833333333333,131.66666666666666,0,66,34,214444.69,4935.12
2019/09/21,14.01,18.928749999999997,13.711666666666668,1010.0,59.833333333333336,3.8791666666666664,227.08333333333334,1,66,34,202696.7,5174.75
2019/09/22,8.702083333333334,12.725833333333334,7.303333333333334,1021.625,56.833333333333336,2.966666666666667,282.0833333333333,1,66,34,204773.05,4680.9400000000005
2019/09/23,8.214583333333334,12.129166666666668,7.767916666666667,1023.9583333333334,73.125,2.4320833333333334,249.29166666666666,0,66,34,243725.77000000002,5039.45
2019/09/24,8.545,12.441666666666668,7.945,1027.9583333333333,67.58333333333333,2.3716666666666666,265.75,0,66,34,251574.66,6817.73
2019/09/25,9.01625,13.020833333333334,9.149166666666666,1028.1666666666667,72.66666666666667,1.7941666666666667,239.75,0,66,34,248605.86,8914.28
2019/09/26,10.559583333333334,14.9225,10.657083333333333,1024.2083333333333,67.95833333333333,2.1024999999999996,212.41666666666666,0,66,34,234640.34999999998,6520.84
2019/09/27,10.079166666666667,14.522083333333333,8.304583333333333,1016.8333333333334,57.458333333333336,4.3625,300.8333333333333,0,66,34,212086.03999999998,3055.7300000000005
2019/09/28,7.769166666666667,12.489166666666668,7.2775,1021.0,66.54166666666667,2.225,219.16666666666666,1,66,34,217524.62,6079.799999999999
2019/09/29,8.88875,13.101666666666667,8.17375,1021.7083333333334,66.54166666666667,2.7416666666666667,222.91666666666666,1,66,34,209608.18,4096.07
2019/09/30,8.669166666666667,12.66625,7.371666666666666,1027.5833333333333,61.625,3.0,190.41666666666666,0,66,34,243541.63999999998,5079.799999999999
2019/10/01,9.084583333333333,14.668333333333331,9.710833333333333,1027.7916666666667,72.25,2.4075,121.54166666666667,0,66,34,234530.55000000002,5681.1900000000005
2019/10/02,14.422083333333333,20.27,14.11,1023.3333333333334,52.166666666666664,3.4612499999999997,104.04166666666667,0,66,34,221521.65000000002,5043.46
2019/10/03,15.343333333333334,21.833333333333332,16.05875,1018.375,54.666666666666664,3.6750000000000003,234.58333333333334,0,66,34,218625.7,5101.71
2019/10/04,10.42,13.683749999999998,10.004583333333333,1022.3333333333334,77.79166666666667,2.629166666666667,196.66666666666666,0,66,34,235025.12,6155.37
2019/10/05,11.707916666666668,16.014166666666668,12.5725,1018.2916666666666,76.625,1.8333333333333333,188.41666666666666,1,66,34,202772.02000000002,4181.03
2019/10/06,17.059565217391302,22.58086956521739,17.398695652173917,1007.1304347826087,49.82608695652174,3.786956521739129,270.0,1,66,34,186022.69,2328.84
2019/10/07,11.339583333333332,15.059166666666664,11.073333333333332,1012.9166666666666,65.375,2.47,212.91666666666666,0,66,34,226592.62,5303.33
2019/10/08,8.565,12.557916666666666,7.592083333333332,1017.7916666666666,75.83333333333333,3.379166666666667,219.58333333333334,0,66,34,235009.55000000002,6086.53
2019/10/09,8.22875,12.983333333333334,7.8500000000000005,1026.1666666666667,77.16666666666667,3.1291666666666664,205.41666666666666,0,66,34,245543.64,6222.740000000001
2019/10/10,9.124166666666666,13.1425,8.65125,1024.125,75.45833333333333,2.658333333333333,167.08333333333334,0,66,34,247384.16,7985.83
2019/10/11,10.125833333333333,14.344166666666666,9.832083333333332,1018.7916666666666,70.70833333333333,2.695833333333333,150.41666666666666,0,66,34,230501.01,5471.700000000001
2019/10/12,11.194166666666666,15.109583333333333,10.899166666666668,1018.0833333333334,63.333333333333336,2.3329166666666667,128.625,1,66,34,202106.72999999998,4385.91
2019/10/13,12.81375,17.064583333333335,11.482916666666666,1016.9583333333334,57.916666666666664,3.8491666666666666,150.54166666666666,1,66,34,189489.40000000002,4171.28
2019/10/14,14.934166666666668,19.335,14.9775,1012.7916666666666,61.458333333333336,3.124166666666667,216.83333333333334,0,66,34,220580.24000000002,5630.76
2019/10/15,12.415000000000001,16.060416666666665,12.148333333333333,1013.8333333333334,68.0,2.866666666666667,185.0,0,66,34,224104.24,5835.8
2019/10/16,11.822916666666666,15.562083333333334,12.33375,1009.875,73.45833333333333,2.1825,205.25,0,66,34,235067.44,5552.35
2019/10/17,8.782083333333333,13.189166666666667,8.117916666666666,1009.9583333333334,69.33333333333333,3.4375,279.625,0,66,34,233380.08000000002,4367.2
2019/10/18,10.822083333333333,15.140833333333333,9.178333333333333,1013.7083333333334,57.5,4.0625,304.9583333333333,0,66,34,219714.97,3547.59
2019/10/19,8.94875,13.051666666666668,7.542083333333333,1015.9166666666666,58.916666666666664,3.2916666666666665,282.9166666666667,1,66,34,204064.99,3067.95
2019/10/20,10.094999999999999,13.716666666666667,9.35,1024.875,67.16666666666667,2.804166666666667,250.41666666666666,1,66,34,205369.03000000003,4088.09
2019/10/21,11.079583333333334,14.811250000000001,10.840416666666664,1027.625,69.16666666666667,2.345833333333333,221.25,0,66,34,229004.13999999998,5291.41
2019/10/22,11.973333333333334,16.702916666666667,13.210833333333333,1024.7083333333333,72.91666666666667,1.963333333333333,176.5,0,66,34,228217.09,5300.79
2019/10/23,14.720416666666665,20.248333333333335,15.610833333333334,1019.75,58.833333333333336,1.9720833333333332,166.33333333333334,1,66,34,228563.23,4745.99
2019/10/24,19.789166666666667,25.892083333333332,19.279583333333335,1011.75,36.708333333333336,4.157916666666666,117.95833333333333,0,66,34,230885.31,3867.88
2019/10/25,17.810416666666665,22.799583333333334,16.71666666666667,1003.1666666666666,40.0,3.6291666666666664,228.75,0,66,34,218261.54,3364.51
2019/10/26,10.013333333333334,14.077083333333334,8.37,1006.0833333333334,57.708333333333336,4.008333333333333,286.25,1,66,34,193396.57,1971.06
2019/10/27,10.085416666666667,14.0875,9.568333333333333,1016.5,65.66666666666667,2.716666666666667,280.8333333333333,1,66,34,205661.11,4137.07
2019/10/28,11.487916666666665,16.50583333333333,12.216250000000002,1022.1666666666666,69.75,2.035,202.66666666666666,0,66,34,225269.27,4939.93
