date, pm25, pm10, o3, no2, so2, co
2019/10/8, 14, , , , , 
2019/10/9, 15, , , , , 
2019/10/10, 14, , , , , 
2019/10/11, 18, , , , , 
2019/10/12, 14, , , , , 
2019/10/13, 17, , , , , 
2019/10/14, 15, , , , , 
2019/10/15, 22, , , , , 
2019/10/16, 16, , , , , 
2019/10/17, 17, , , , , 
2019/10/18, 19, , , , , 
2019/10/19, 19, , , , , 
2019/10/20, 19, , , , , 
2019/10/21, 21, , , , , 
2019/10/22, 32, , , , , 
2019/10/23, 55, , , , , 
2019/10/24, 49, , , , , 
2019/10/25, 39, , , , , 
2019/10/26, 35, , , , , 
2019/10/27, 26, , , , , 
2019/10/28, 30, , , , , 
2019/10/29, 43, , , , , 
2019/10/30, 50, , , , , 
2019/10/31, 53, , , , , 
2019/11/1, 32, , , , , 
2019/11/2, 34, , , , , 
2019/11/3, 19, , , , , 
2019/11/4, 16, , , , , 
2019/11/5, 17, , , , , 
2019/11/6, 18, , , , , 
2019/11/7, 13, , , , , 
2019/11/8, 14, , , , , 
2019/11/9, 21, , , , , 
2019/11/10, 17, , , , , 
2019/11/11, 13, , , , , 
2019/11/12, 16, , , , , 
2019/11/13, 25, , , , , 
2019/11/14, 20, , , , , 
2019/11/15, 17, , , , , 
2019/11/16, 29, , , , , 
2019/11/17, 24, , , , , 
2019/11/18, 17, , , , , 
2019/11/19, 21, , , , , 
2019/11/23, 24, , , , , 
2019/11/24, 27, , , , , 
2019/11/25, 28, , , , , 
2019/11/26, 24, , , , , 
2019/11/27, 20, , , , , 
2019/11/28, 20, , , , , 
2019/11/29, 36, , , , , 
2019/11/30, 29, , , , , 
2019/12/1, 15, , , , , 
2019/12/3, 19, , , , , 
2019/12/4, 17, , , , , 
2019/12/5, 23, , , , , 
2019/12/6, 23, , , , , 
2019/12/7, 35, , , , , 
2019/12/8, 29, , , , , 
2019/12/9, 32, , , , , 
2019/12/10, 29, , , , , 
2019/12/11, 19, , , , , 
2019/12/12, 23, , , , , 
2019/12/13, 24, , , , , 
2019/12/14, 19, , , , , 
2019/12/15, 14, , , , , 
2019/12/16, 26, , , , , 
2019/12/17, 34, , , , , 
2019/12/18, 44, , , , , 
2019/12/19, 40, , , , , 
2019/12/20, 52, , , , , 
2019/12/21, 69, , , , , 
2019/12/22, 27, , , , , 
2019/12/23, 40, , , , , 
2019/12/24, 42, , , , , 
2019/12/25, 46, , , , , 
2019/12/26, 77, , , , , 
2019/12/27, 28, , , , , 
2019/12/28, 62, , , , , 
2019/12/29, 53, , , , , 
2019/7/1, 16, , , , , 
2019/7/2, 14, , , , , 
2019/7/3, 34, , , , , 
2019/7/4, 39, , , , , 
2019/7/5, 75, , , , , 
2019/7/6, 57, , , , , 
2019/7/7, 41, , , , , 
2019/7/8, 17, , , , , 
2019/7/9, 22, , , , , 
2019/7/10, 15, , , , , 
2019/7/11, 13, , , , , 
2019/7/12, 22, , , , , 
2019/7/13, 15, , , , , 
2019/7/14, 14, , , , , 
2019/7/15, 29, , , , , 
2019/7/16, 27, , , , , 
2019/7/17, 20, , , , , 
2019/7/18, 25, , , , , 
2019/7/19, 23, , , , , 
2019/7/20, 20, , , , , 
2019/7/21, 9, , , , , 
2019/7/22, 16, , , , , 
2019/7/23, 15, , , , , 
2019/7/24, 14, , , , , 
2019/7/25, 13, , , , , 
2019/7/26, 14, , , , , 
2019/7/27, 29, , , , , 
2019/7/28, 30, , , , , 
2019/7/29, 26, , , , , 
2019/7/30, 20, , , , , 
